S/N,TICKER SYMBOL,ENTRY PRICE ($),EXIT PRICE ($),STOP LOSS ($),STOP LOSS (%),NUMBER OF SHARES,RISK AMOUNT ($),TRADE VALUE ($),RISK / REWARD,PROFIT / LOSS (%),PROFIT / LOSS ($),DATE OF ENTRY,DATE OF EXIT,HOLDING PERIOD,ENTRY TACTICS,EDGES ,ENTRY RATIONALE,EXIT RATIONALE,EMOTIONAL STATE,LESSON LEARNT ,THINGS TO IMPROVE,
1,QBTS,$18.85,$18.90,$18.29,2.97%,3.00,$1.68,$56.55,0.09,0.27%,$0.15,7/18/2025,7/21/2025,3,INSIDE DAY,RELATIVE STRENGTH ,I bot because of the inside day near its pivot after a strong day prior,"Sold at breakout, turned out to be a false breakout ","Was not emotional entering, planned the trade ahead. ","Learnt must follow my rules no matter what, especially the first 30m",Need to learn to be comfortable with trading high ADR names ,
2,SNAP,$10.00,$10.07,$9.75,2.50%,7.00,$1.75,$70.00,0.28,0.70%,$0.49,7/21/2025,7/23/2025,2,INSIDE DAY,RELATIVE STRENGTH ,"I bot because it reclaimed its 200-day EMA, and entered off the inside day after reclaiming ","Too be honest, sold because of emotions, was emotional about BULL","Was calm entering the trade, followed the plan. The exit was based on emotions ",Never make a decision out of emotions ever again,Need to control my impulses & don't let other trades affect another trade ,
3,BULL,$16.89,$16.55,$16.55,-2.01%,5.00,$1.70,$84.45,1.00,-2.01%,-$1.70,7/23/2025,7/23/2025,0,HIGH VOLUME CLOSE ,HIGHEST VOLUME EVER,"I bot because it was consolidating at HVC on the 15 mins chart, and i found where to manage risk",I was stopped out - happened to be a shakeout ,"Was at peace with myself taking the loss, but hesistated a little bit on the entry ","I must obey my stop no matter what, this loss is forcing me to learn how to position size in ADR names",Need to learn how to seriously position size in high ADR names moving forward ,
4,TMC ,$8.03,$7.92,$7.86,-2.12%,11.00,$1.87,$88.33,0.65,-1.37%,-$1.21,7/24/2025,7/25/2025,1,BASE PIVOT (ORB),RELATIVE STRENGTH ,"I bot because on the daily it broke, entered with a retest of ORB high on the 15 mins chart","Exited at my stop, it gapped down on me ",Followed my plan i prepared for myself - not emotional ,Found the importance of not chasing anything due to FOMO,Find myself being obssesed about an open position - need to stop this ,
5,COUR,$12.00,$11.87,$11.75,-2.08%,4.00,$1.00,$48.00,0.52,-1.08%,-$0.52,7/30/2025,7/30/2025,0,HIGH VOLUME CLOSE ,HIGHEST VOLUME ERVER ,I bot because it's consolidating at the HVC while the EMAs on the 15 mins chart catches up,"Was emotional exiting, didn't follow my exit plan to sell at my stop loss","Placed the order in pre market, so pretty calm ","Follow the plan - especially the stop loss, if a stock hasn't hit it no reason to sell ",Trying a new position sizing i developed - pyramiding in ,
6,COMM,$14.51,$14.51,$14.20,-2.14%,3.00,$0.93,$43.53,0.00,0.00%,$0.00,8/5/2025,8/5/2025,0,HIGH VOLUME CLOSE ,HIGHEST VOLUME EVER ,"Was consolidating at HVC & saw a way to manage risk, that's why i bought ","Exited at breakeven, i guess HVE came because of acquistion ","Calm in this trade, sold at breakeven ","Not much to learn, check why HVE is in stocks - this one came because of acquistion ","Didn't plan this trade prior to opening, just saw where i could manage risk",
7,ZETA,$20.25,$19.75,$19.75,-2.47%,2.00,$1.00,$40.50,1.00,-2.47%,-$1.00,8/7/2025,8/7/2025,0,HIGH VOLUME CLOSE ,HIGHEST VOLUME EVER ,Bot on a retest of HVC ,Exited at my pre defined stop slightly below the 21-day on the 15 mins ,"Followed my plan, emotional calm - but worried mentally that i'm taking many losses in a row ","Fixating on HVC - HVC has a low win rate, need to start focusing on whole numbers & volume support ",Need to focus on volume support & whole numbers ,
8,REVG,$50.85,$50.49,$50.28,-1.12%,1.92,$1.09,$97.63,0.63,-0.71%,-$0.69,8/8/2025,8/20/2025,12,INSIDE DAY ,RELATIVE STRENGTH ,"Bot on inside day - few minutes after the opening, near at it's pivot ",Got stopped out near breakeven,Planned the trade & accepted the risk,No lesson - followed my plan,Need to go in with whole shares so i could place hard stops at BE next time ,
9,USAR,$19.05,$18.31,$18.58,-2.47%,2.00,$0.94,$38.10,1.56,-3.86%,-$1.47,8/13/2025,8/13/2025,0,HIGHEST VOLUME CLOSE,HIGHEST VOLUME EVER,Bot few minutes into the opening at HVC placing my stop less thhan -2% away,Got stopped out shortly after,Was unfazed about the loss - emotionally stable,A trade that's proofing me more HVC has a low win rate ,Need to stop focusing on HVC ,
10,AEO,$13.28,$12.61,$13.10,-1.36%,5.00,$0.90,$66.40,3.72,-5.05%,-$3.35,8/14/2025,8/14/2025,0,HIGH VOLUME CLOSE,HIGHEST VOLUME EVER ,Placed the other in pre market & got filled at $13.28,Exited way below my stop loss - wasn't happy,I was emotionally down after exiting - sold way below my planned risk ,Never buy a stock into major economic data report - like CPI or PPI,Need to check what economic data are coming out & their impact on the market,This is a proof Highest volume close has low win rate 
