
S/N,TICKER SYMBOL,ENTRY PRICE ($),EXIT PRICE ($),STOP LOSS ($),STOP LOSS (%),NUMBER OF SHARES,RISK AMOUNT ($),TRADE VALUE ($),RISK / REWARD,PROFIT / LOSS (%),PROFIT / LOSS ($),DATE OF ENTRY,DATE OF EXIT,HOLDING PERIOD
1,QBTS,$18.85,$18.90,$18.29,2.97%,3.00,$1.68,$56.55,0.09,0.27%,$0.15,7/18/2025,7/21/2025,3
2,SNAP,$10.00,$10.07,$9.75,2.50%,7.00,$1.75,$70.00,0.28,0.70%,$0.49,7/21/2025,7/23/2025,2
3,BULL,$16.89,$16.55,$16.55,-2.01%,5.00,$1.70,$84.45,1.00,-2.01%,-$1.70,7/23/2025,7/23/2025,0
4,TMC,$8.03,$7.92,$7.86,-2.12%,11.00,$1.87,$88.33,0.65,-1.37%,-$1.21,7/24/2025,7/25/2025,1
5,COUR,$12.00,$11.87,$11.75,-2.08%,4.00,$1.00,$48.00,0.52,-1.08%,-$0.52,7/30/2025,7/30/2025,0
6,COMM,$14.51,$14.51,$14.20,-2.14%,3.00,$0.93,$43.53,0.00,0.00%,$0.00,8/5/2025,8/5/2025,0
7,ZETA,$20.25,$19.75,$19.75,-2.47%,2.00,$1.00,$40.50,1.00,-2.47%,-$1.00,8/7/2025,8/7/2025,0
8,REVG,$50.85,$50.49,$50.28,-1.12%,1.92,$1.09,$97.63,0.63,-0.71%,-$0.69,8/8/2025,8/20/2025,12
9,USAR,$19.05,$18.31,$18.58,-2.47%,2.00,$0.94,$38.10,1.56,-3.86%,-$1.47,8/13/2025,8/13/2025,0
10,AEO,$13.28,$12.61,$13.10,-1.36%,5.00,$0.90,$66.40,3.72,-5.05%,-$3.35,8/14/2025,8/14/2025,0
11,WULF,$8.71,$8.50,$8.50,-2.41%,5.00,$1.05,$43.55,1.00,-2.41%,-$1.05,8/15/2025,8/15/2025,0
12,HNGE,$60.00,$54.00,$59.00,-1.67%,1.00,$1.00,$60.00,6.00,-10.00%,-$6.00,8/18/2025,8/19/2025,1
13,RDDT,$221.38,$220.15,$221.38,0.00%,0.27,$0.00,$59.44,#DIV/0!,-0.55%,-$0.33,8/28/2025,8/29/2025,1
14,PRM,$22.18,$21.17,$21.78,-1.80%,1.89,$0.76,$42.01,2.53,-4.55%,-$1.91,9/12/2025,9/16/2025,4
15,SMR,$45.52,$42.42,$45.52,0.00%,1.51,$0.00,$68.74,#DIV/0!,-6.82%,-$4.69,9/22/2025,9/23/2025,1
16,LEVI,$22.95,$22.91,$22.95,0.00%,3.05,$0.00,$70.00,#DIV/0!,-0.17%,-$0.12,9/18/2025,9/25/2025,7
17,SNDK,$94.36,$117.21,$93.54,-0.87%,0.49,$0.40,$46.22,-27.96,24.22%,$11.19,9/26/2025,10/10/2025,14
18,PLTR,$181.46,$178.15,$181.46,0.00%,0.52,$0.00,$94.06,,-1.82%,-$1.71,9/30/2025,10/3/2025,3
19,OPEN,$9.06,$8.56,$9.06,0.00%,6.00,$0.00,$54.36,,-5.56%,-$3.02,10/7/2025,10/8/2025,1
20,NBIS,$124.80,$129.63,$124.80,0.00%,0.61,$0.00,$75.69,#DIV/0!,3.87%,$2.93,10/8/2025,10/10/2025,2
21,NBIS,$136.43,$122.71,$132.65,-2.77%,0.27,$1.03,$37.02,3.63,-10.06%,-$3.72,10/13/2025,10/15/2025,2
22,GRAL,$80.04,$83.06,$78.60,-1.80%,0.61,$0.87,$48.55,"-2,698.56",3.77%,$1.83,10/23/2025,11/4/2025,12
23,APLD,$34.00,$33.48,$33.10,-2.65%,1.00,$0.90,$34.00,,-1.53%,-$0.52,10/27/2025,10/30/2025,3
24,GH,$101.33,$100.21,$98.50,-2.79%,0.50,$1.41,$50.50,,-1.11%,-$0.56,11/10/2025,11/10/2025,0
25,PUMP,$11.10,$10.44,$10.96,-1.26%,4.00,$0.56,$44.40,,-5.95%,-$2.64,10/30/2025,10/31/2025,1
26,PUMP,$10.07,$10.07,$10.07,0.00%,8.00,$0.00,$80.56,,0.00%,$0.00,11/14/2025,11/14/2025,0
27,PUMP,$10.15,$9.91,$10.00,-1.48%,5.00,$0.75,$50.75,,-2.36%,-$1.20,11/20/2025,11/20/2025,0
28,GH,$98.05,$96.25,$96.45,-1.63%,0.66,$1.05,$64.50,,-1.84%,-$1.18,11/11/2025,11/13/2025,2
29,GH,$106.93,$104.96,$104.58,-2.20%,0.59,$1.38,$62.76,,-1.84%,-$1.16,12/2/2025,12/2/2025,0
30,VIAV
